segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s011.265,1920,1080,19.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00037498,0.016499,0.022124,25.4
AncientThought_s011.265,2560,1440,27.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00054023,0.02377,0.031874,25.4
AncientThought_s011.265,3840,2160,55.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.001087,0.047828,0.064133,25.4
AncientThought_s012.265,640,360,8.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0001571,0.006912,0.009269,25.4
AncientThought_s012.265,960,540,10.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00018801,0.008272,0.011092,25.4
AncientThought_s012.265,1280,720,12.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00023638,0.010401,0.013947,25.4
AncientThought_s012.265,1920,1080,18.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00035048,0.015421,0.020678,25.4
AncientThought_s012.265,2560,1440,25.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00049562,0.021807,0.029241,25.4
AncientThought_s012.265,3840,2160,50.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0009764,0.042962,0.057608,25.4
AncientThought_s013.265,640,360,9.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00016643,0.007323,0.009819,25.4
AncientThought_s013.265,960,540,11.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00020721,0.009117,0.012225,25.4
AncientThought_s013.265,1280,720,14.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00026808,0.015817,0.015817,0.0
AncientThought_s013.265,1920,1080,20.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00040411,0.023842,0.023842,0.0
AncientThought_s013.265,2560,1440,30.5,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00059157,0.034903,0.034903,0.0
AncientThought_s013.265,3840,2160,59.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00115881,0.06837,0.06837,0.0
AncientThought_s014.265,640,360,8.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00016083,0.009489,0.009489,0.0
AncientThought_s014.265,960,540,10.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00019429,0.011463,0.011463,0.0
AncientThought_s014.265,1280,720,13.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00024344,0.014363,0.014363,0.0
AncientThought_s014.265,1920,1080,18.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00035772,0.021106,0.021106,0.0
AncientThought_s014.265,2560,1440,26.7,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00051577,0.030431,0.030431,0.0
AncientThought_s014.265,3840,2160,51.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00101634,0.059964,0.059964,0.0
AncientThought_s015.265,640,360,8.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00016043,0.009465,0.009465,0.0
AncientThought_s015.265,960,540,10.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0001925,0.011357,0.011357,0.0
AncientThought_s015.265,1280,720,13.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00024269,0.014319,0.014319,0.0
AncientThought_s015.265,1920,1080,18.7,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00036247,0.021386,0.021386,0.0
AncientThought_s015.265,2560,1440,27.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00052071,0.030722,0.030722,0.0
AncientThought_s015.265,3840,2160,52.1,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00101554,0.059917,0.059917,0.0
AncientThought_s016.265,640,360,8.7,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0001563,0.009222,0.009222,0.0
AncientThought_s016.265,960,540,10.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0001882,0.011104,0.011104,0.0
AncientThought_s016.265,1280,720,12.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00023134,0.013649,0.013649,0.0
AncientThought_s016.265,1920,1080,17.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00033831,0.01996,0.01996,0.0
AncientThought_s016.265,2560,1440,25.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00048793,0.028788,0.028788,0.0
AncientThought_s016.265,3840,2160,49.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00097083,0.057279,0.057279,0.0
AncientThought_s017.265,640,360,9.2,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00016328,0.009634,0.009634,0.0
AncientThought_s017.265,960,540,11.1,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00020035,0.011821,0.011821,0.0
AncientThought_s017.265,1280,720,13.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00025637,0.015126,0.015126,0.0
AncientThought_s017.265,1920,1080,20.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00038388,0.022649,0.022649,0.0
AncientThought_s017.265,2560,1440,28.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00054991,0.032445,0.032445,0.0
AncientThought_s017.265,3840,2160,55.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00108137,0.063801,0.063801,0.0
AncientThought_s018.265,640,360,10.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.0001819,0.010732,0.010732,0.0
AncientThought_s018.265,960,540,12.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00022085,0.01303,0.01303,0.0
AncientThought_s018.265,1280,720,14.7,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00027598,0.016283,0.016283,0.0
AncientThought_s018.265,1920,1080,21.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00041452,0.024457,0.024457,0.0
AncientThought_s018.265,2560,1440,30.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00060737,0.035835,0.035835,0.0
AncientThought_s018.265,3840,2160,62.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00121929,0.071938,0.071938,0.0
AncientThought_s019.265,640,360,9.2,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00016297,0.009615,0.009615,0.0
AncientThought_s019.265,960,540,11.2,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00020383,0.012026,0.012026,0.0
AncientThought_s019.265,1280,720,14.2,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00026351,0.015547,0.015547,0.0
AncientThought_s019.265,1920,1080,20.5,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00039544,0.023331,0.023331,0.0
AncientThought_s019.265,2560,1440,29.1,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00056678,0.03344,0.03344,0.0
